[INFO] 2025-11-15 13:40:31,395 django.utils.autoreload autoreload 21748 19080 - Watching for file changes with StatReloader
[INFO] 2025-11-15 13:41:14,248 api views 21748 35480 - Acceso a la página de inicio de la API
[INFO] 2025-11-15 13:41:14,250 django.server basehttp 21748 35480 - "GET /api/ HTTP/1.1" 200 661
[WARNING] 2025-11-15 13:41:14,310 django.request log 21748 35480 - Not Found: /favicon.ico
[WARNING] 2025-11-15 13:41:14,310 django.server basehttp 21748 35480 - "GET /favicon.ico HTTP/1.1" 404 179
[INFO] 2025-11-15 13:41:26,880 django.server basehttp 21748 35480 - "GET /admin/ HTTP/1.1" 302 0
[INFO] 2025-11-15 13:41:27,128 django.server basehttp 21748 35480 - "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4215
[WARNING] 2025-11-15 13:41:27,167 django.request log 21748 35480 - Not Found: /static/admin/css/base.css
[WARNING] 2025-11-15 13:41:27,167 django.server basehttp 21748 35480 - "GET /static/admin/css/base.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,179 django.request log 21748 35480 - Not Found: /static/admin/css/dark_mode.css
[WARNING] 2025-11-15 13:41:27,181 django.request log 21748 35772 - Not Found: /static/admin/css/nav_sidebar.css
[WARNING] 2025-11-15 13:41:27,182 django.request log 21748 29492 - Not Found: /static/admin/css/login.css
[WARNING] 2025-11-15 13:41:27,183 django.server basehttp 21748 35480 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,183 django.server basehttp 21748 35772 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,184 django.request log 21748 27412 - Not Found: /static/admin/css/responsive.css
[WARNING] 2025-11-15 13:41:27,185 django.server basehttp 21748 29492 - "GET /static/admin/css/login.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,186 django.request log 21748 13952 - Not Found: /static/admin/js/theme.js
[WARNING] 2025-11-15 13:41:27,187 django.server basehttp 21748 27412 - "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,187 django.server basehttp 21748 13952 - "GET /static/admin/js/theme.js HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:27,188 django.request log 21748 29068 - Not Found: /static/admin/js/nav_sidebar.js
[WARNING] 2025-11-15 13:41:27,188 django.server basehttp 21748 29068 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[INFO] 2025-11-15 13:41:37,415 django.server basehttp 21748 29068 - "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[INFO] 2025-11-15 13:41:37,468 django.server basehttp 21748 29068 - "GET /admin/ HTTP/1.1" 200 6690
[WARNING] 2025-11-15 13:41:37,507 django.request log 21748 29068 - Not Found: /static/admin/css/base.css
[WARNING] 2025-11-15 13:41:37,508 django.request log 21748 13952 - Not Found: /static/admin/css/dashboard.css
[WARNING] 2025-11-15 13:41:37,509 django.request log 21748 29492 - Not Found: /static/admin/css/nav_sidebar.css
[WARNING] 2025-11-15 13:41:37,510 django.request log 21748 35772 - Not Found: /static/admin/css/responsive.css
[WARNING] 2025-11-15 13:41:37,511 django.request log 21748 35480 - Not Found: /static/admin/js/theme.js
[WARNING] 2025-11-15 13:41:37,511 django.request log 21748 27412 - Not Found: /static/admin/css/dark_mode.css
[WARNING] 2025-11-15 13:41:37,512 django.server basehttp 21748 29068 - "GET /static/admin/css/base.css HTTP/1.1" 404 179
[WARNING] 2025-11-15 13:41:37,512 django.server basehttp 21748 13952 - "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
